size,backend,trial,latency
2048,auto_dcnone,4,319.8900
4096,auto_dcnone,4,60.3800
8192,auto_dcnone,4,70.2800
16384,auto_dcnone,4,86.5000
32768,auto_dcnone,4,94.6600
65536,auto_dcnone,4,116.3800
131072,auto_dcnone,4,138.1400
262144,auto_dcnone,4,172.2700
524288,auto_dcnone,4,253.7500
1048576,auto_dcnone,4,389.6100
4,auto_dcnone,5,144.1400
8,auto_dcnone,5,118.8800
16,auto_dcnone,5,113.2600
32,auto_dcnone,5,111.8200
64,auto_dcnone,5,114.3900
128,auto_dcnone,5,112.0400
256,auto_dcnone,5,122.7800
512,auto_dcnone,5,132.7600
1024,auto_dcnone,5,203.3800
2048,auto_dcnone,5,314.3100
4096,auto_dcnone,5,52.2000
8192,auto_dcnone,5,69.8500
16384,auto_dcnone,5,85.6500
32768,auto_dcnone,5,86.4800
65536,auto_dcnone,5,104.9000
131072,auto_dcnone,5,127.1000
262144,auto_dcnone,5,171.3300
524288,auto_dcnone,5,255.8300
1048576,auto_dcnone,5,394.7200
4,auto_dcnone,6,144.2500
8,auto_dcnone,6,131.6400
16,auto_dcnone,6,120.7300
32,auto_dcnone,6,124.1000
64,auto_dcnone,6,121.8900
128,auto_dcnone,6,120.6600
256,auto_dcnone,6,128.5800
512,auto_dcnone,6,145.4300
1024,auto_dcnone,6,203.8300
2048,auto_dcnone,6,317.8500
4096,auto_dcnone,6,64.9300
8192,auto_dcnone,6,71.2300
16384,auto_dcnone,6,90.2200
32768,auto_dcnone,6,87.6600
65536,auto_dcnone,6,105.3300
131072,auto_dcnone,6,128.6700
262144,auto_dcnone,6,171.8700
524288,auto_dcnone,6,254.5500
1048576,auto_dcnone,6,397.0600
4,auto_dcnone,7,152.6300
8,auto_dcnone,7,121.3000
16,auto_dcnone,7,123.7800
32,auto_dcnone,7,121.6000
64,auto_dcnone,7,120.5800
128,auto_dcnone,7,120.5500
256,auto_dcnone,7,129.8500
512,auto_dcnone,7,146.9200
1024,auto_dcnone,7,210.0100
2048,auto_dcnone,7,346.2900
4096,auto_dcnone,7,62.1800
8192,auto_dcnone,7,70.9500
16384,auto_dcnone,7,85.3500
32768,auto_dcnone,7,95.2500
65536,auto_dcnone,7,113.1900
131072,auto_dcnone,7,135.5100
262144,auto_dcnone,7,179.3300
524288,auto_dcnone,7,266.7400
1048576,auto_dcnone,7,405.1700
4,auto_dcnone,8,159.7200
8,auto_dcnone,8,136.0900
16,auto_dcnone,8,135.1000
32,auto_dcnone,8,138.1100
64,auto_dcnone,8,130.3300
128,auto_dcnone,8,126.6400
256,auto_dcnone,8,133.7400
512,auto_dcnone,8,148.8100
1024,auto_dcnone,8,214.3900
2048,auto_dcnone,8,337.2800
4096,auto_dcnone,8,58.4500
8192,auto_dcnone,8,69.3500
16384,auto_dcnone,8,84.8700
32768,auto_dcnone,8,96.2800
